iter	Passed	Remaining
0	26	2635
1	42	2079
2	55	1796
3	70	1700
4	81	1551
5	101	1595
6	115	1535
7	133	1534
8	145	1475
9	161	1453
10	174	1408
11	187	1371
12	198	1327
13	207	1274
14	222	1260
15	236	1241
16	248	1215
17	261	1189
18	276	1178
19	289	1158
20	300	1130
21	316	1120
22	327	1097
23	341	1080
24	351	1053
25	361	1027
26	374	1011
27	387	997
28	400	980
29	416	972
30	428	953
31	450	957
32	462	938
33	475	922
34	487	904
35	499	887
36	520	885
37	540	881
38	560	876
39	583	874
40	604	869
41	614	848
42	631	836
43	646	822
44	656	802
45	669	786
46	679	766
47	688	745
48	700	729
49	710	710
50	718	690
51	731	675
52	743	659
53	762	649
54	780	638
55	801	629
56	817	616
57	837	606
58	857	595
59	872	581
60	885	565
61	898	550
62	909	533
63	917	516
64	928	500
65	940	484
66	952	469
67	964	453
68	975	438
69	986	422
70	998	407
71	1009	392
72	1022	378
73	1034	363
74	1047	349
75	1064	336
76	1076	321
77	1089	307
78	1102	293
79	1115	278
80	1125	264
81	1138	249
82	1153	236
83	1165	221
84	1176	207
85	1195	194
86	1219	182
87	1236	168
88	1260	155
89	1270	141
90	1295	128
91	1319	114
92	1336	100
93	1350	86
94	1360	71
95	1370	57
96	1383	42
97	1394	28
98	1403	14
99	1415	0
