Asset,3Sigma,IQR,IsolationForest,LOF,DBSCAN,WindowAnomaly,AbnormalSequence
Asset_001,0,0,26,26,0,0,0
Asset_002,0,0,26,26,0,0,0
Asset_003,52,57,25,26,0,0,0
Asset_004,0,0,26,26,0,1,0
Asset_005,9,408,26,26,0,0,0
Asset_006,0,252,26,26,0,0,0
Asset_007,0,0,26,26,0,0,0
Asset_008,0,0,26,26,0,0,0
Asset_009,0,42,26,26,0,0,0
Asset_010,0,0,26,26,0,0,0
Asset_011,56,139,26,26,0,0,0
Asset_012,0,0,26,26,0,1,0
Asset_013,0,0,24,26,0,0,0
Asset_014,7,263,26,26,0,1,0
Asset_015,7,294,26,26,0,0,0
Asset_016,0,0,25,26,0,0,0
Asset_017,0,0,26,26,0,0,0
Asset_018,6,4,24,26,0,0,0
Asset_019,93,280,25,26,0,0,0
Asset_020,0,0,26,26,0,0,0
Asset_021,0,0,26,26,0,0,0
Asset_022,0,0,26,26,0,1,0
Asset_023,0,0,25,26,0,0,0
Asset_024,0,5,25,26,0,0,0
Asset_025,0,0,25,26,0,0,0
Asset_026,0,0,26,26,0,0,0
Asset_027,0,0,26,26,0,1,0
Asset_028,0,2,25,26,0,0,0
Asset_029,2,78,24,26,0,0,0
Asset_030,0,0,26,26,0,0,0
Asset_031,0,0,26,26,0,0,0
Asset_032,0,0,26,26,0,0,0
Asset_033,11,191,26,26,0,0,0
Asset_034,7,171,26,26,0,0,0
Asset_035,0,0,26,26,0,1,0
Asset_036,10,7,26,26,0,0,0
Asset_037,0,0,26,26,0,0,0
Asset_038,0,0,26,26,0,0,0
Asset_039,0,0,26,26,0,1,0
Asset_040,11,229,26,26,0,0,0
Asset_041,0,0,26,26,0,0,0
Asset_042,30,489,26,26,0,0,0
Asset_043,0,0,26,26,0,0,0
Asset_044,41,269,26,26,0,0,0
Asset_045,0,0,26,26,0,0,0
Asset_046,0,0,26,26,0,1,0
Asset_047,63,167,26,26,0,1,0
Asset_048,0,0,26,26,0,0,0
Asset_049,0,0,25,26,0,1,0
Asset_050,0,0,26,26,0,1,0
Asset_051,0,0,26,26,0,0,0
Asset_052,0,0,26,26,0,0,0
Asset_053,54,398,26,26,0,0,0
Asset_054,0,0,26,26,0,0,0
Asset_055,0,0,26,26,0,0,0
Asset_056,55,90,25,26,0,0,0
Asset_057,0,53,26,26,0,0,0
Asset_058,57,141,26,26,0,1,0
Asset_059,0,0,26,26,0,0,0
Asset_060,0,0,26,26,0,0,0
Asset_061,0,18,26,26,0,0,0
Asset_062,0,0,26,26,0,0,0
Asset_063,0,0,26,26,0,0,0
Asset_064,0,0,26,26,0,0,0
Asset_065,0,319,26,26,0,0,0
Asset_066,0,0,26,26,0,0,0
Asset_067,37,194,26,26,0,1,0
Asset_068,27,60,25,26,0,0,0
Asset_069,0,0,25,26,0,1,0
Asset_070,0,0,26,26,0,2,0
Asset_071,0,0,26,26,0,1,0
Asset_072,50,341,25,26,0,1,0
Asset_073,7,237,26,26,0,3,0
Asset_074,0,0,24,26,0,0,0
Asset_075,0,56,26,26,0,1,0
Asset_076,0,0,26,26,0,0,0
Asset_077,0,0,26,26,0,0,0
Asset_078,61,140,26,26,0,0,0
Asset_079,54,231,25,26,0,0,0
Asset_080,0,0,26,26,0,0,0
Asset_081,52,75,26,26,0,0,0
Asset_082,0,0,26,25,0,1,0
Asset_083,0,0,26,26,0,0,0
Asset_084,55,301,26,26,0,1,0
Asset_085,12,9,26,26,0,1,0
Asset_086,0,0,26,26,0,0,0
Asset_087,0,0,26,26,0,0,0
Asset_088,0,97,26,26,0,0,0
Asset_089,0,0,26,26,0,1,0
Asset_090,0,346,25,26,0,0,0
Asset_091,0,0,26,26,0,0,0
Asset_092,0,54,26,26,0,0,0
Asset_093,0,6,26,26,0,1,0
Asset_094,0,0,26,26,0,0,0
Asset_095,0,28,26,26,0,0,0
Asset_096,0,0,26,26,0,0,0
Asset_097,64,94,26,26,0,0,0
Asset_098,2,38,25,26,0,0,0
Asset_099,0,0,26,26,0,0,0
Asset_100,0,0,26,26,0,0,0
