notebook,title,CAGR [%],Sharpe,Max Drawdown [%]
notebooks/ML_Linear_Models_01_OLS_Ridge_Lasso.ipynb,Linear Model (ridge) - Original Style 1N,16.959697,0.894865,-38.488
notebooks/ML_Linear_Models_01_OLS_Ridge_Lasso.ipynb,Linear Model (ridge) - Original Style MPT,17.731467,0.938796,-34.178475
notebooks/ML_Linear_Models_02_ElasticNet.ipynb,Linear Model (elasticnet) - Original Style 1N,16.710969,0.925644,-35.774485
notebooks/ML_Linear_Models_02_ElasticNet.ipynb,Linear Model (elasticnet) - Original Style MPT,14.724528,0.79301,-34.308294
notebooks/ML_Linear_Models_03_BayesianRidge.ipynb,Linear Model (bayesianridge) - Original Style 1N,15.955106,0.849282,-37.144722
notebooks/ML_Linear_Models_03_BayesianRidge.ipynb,Linear Model (bayesianridge) - Original Style MPT,16.721692,0.892932,-35.516285
notebooks/ML_Linear_Models_04_TimeSplit_OLS_Ridge_Lasso.ipynb,TimeSplit Linear (ridge) - Original Style 1N (Test Window),33.362219,1.503062,-22.607705
notebooks/ML_Linear_Models_04_TimeSplit_OLS_Ridge_Lasso.ipynb,TimeSplit Linear (ridge) - Original Style MPT (Test Window),24.474231,1.168396,-27.840206
notebooks/ML_Linear_Models_05_SMC_Indicators_TimeSplit.ipynb,SMC Linear (ols) - 1/N (Test Window),8.187535,0.486278,-22.598123
notebooks/ML_Linear_Models_05_SMC_Indicators_TimeSplit.ipynb,SMC Linear (ridge) - 1/N (Test Window),23.50101,1.064191,-21.478081
notebooks/ML_Linear_Models_05_SMC_Indicators_TimeSplit.ipynb,SMC Linear (lasso) - 1/N (Test Window),26.235639,1.396587,-18.490968
notebooks/ML_Linear_Models_05_SMC_Indicators_TimeSplit.ipynb,SMC Linear (lasso) - MPT (Test Window),11.746236,0.76154,-21.849477
notebooks/Original_Style_1N.ipynb,OBV Divergence Strategy,18.476995,1.020018,-33.348459
notebooks/Original_Style_1N.ipynb,A/D Divergence Strategy,19.247701,1.046417,-32.49443
notebooks/Original_Style_1N.ipynb,RSI Strategy,20.048042,1.054984,-35.106321
notebooks/Original_Style_1N.ipynb,MACD Strategy,15.780972,0.958961,-24.866126
notebooks/Original_Style_1N.ipynb,Aroon Strategy,15.51511,0.948653,-29.783701
notebooks/Original_Style_1N.ipynb,Ichimoku Strategy,15.507275,0.989093,-25.484508
notebooks/Original_Style_1N.ipynb,SMA Golden Cross Strategy,16.510455,1.00892,-32.258407
notebooks/Original_Style_MPT.ipynb,OBV Divergence Strategy,16.109601,0.909969,-31.23273
